name,circonscription,coalition,image_url
Ahmed AÏDARA,Guediawaye,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663333431_post.jpg
Bilaly BA,Tambacounda,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663335252_post.jpg
Demba BA,Podor,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663706240_post.jpg
Sokhna BA 2,Kaolack,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663360168_post.jpg
Idrissa BALDÉ,Kolda,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663705856_post.jpg
Ahmed Youssouph BENGELLOUNE,Kaolack,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663707318_post.jpg
Ramatoulaye BODIAN,Guediawaye,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663420637_post.jpg
Sokhna BA,Afrique du Centre,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663360004_post.jpg
Soukèye BA,Nioro,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663705957_post.png
Ndèye Lucie CISSÉ,Dakar,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1401209308_post.jpg
Cheikh Aliou BÈYE,Pikine,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663362049_post.jpg
Ndialou BATHILY,Dakar,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663361642_post.jpg
Mamadou CISSÉ,Medina-Yoro-Foulah,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663705856_post.jpg
Oumar CISSÉ,Rufisque,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663413203_post.jpg
Fatou BA,Dakar,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663705957_post.png
Oumar Souvané CISSÉ,Bounkiling,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663413779_post.jpg
Mamadou Lamine DIALLO,Dakar,WALLU SÉNÉGAL,http://www.assemblee-nationale.sn/vignette350x250bankimages/1411055899_post.jpg
Amy Yaya DIALLO,Bakel,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663420311_post.jpg
Ismaïla DIALLO,Guinguineo,yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663420839_post.jpg
Adama DIALLO,Gossas,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663419758_post.jpg
Amadou DIALLO,Europe du Sud,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663420193_post.jpg
Awa DIAGNE,Tambacounda,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1507683259_post.JPG
Abdoulaye DIAGNE,Fatick,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663702306_post.jpg
Daouda DIA,Kanel,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1401210050_post.jpg
Samba DANG,Birkelane,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663418472_post.jpg
Mady DANFAKHA,Saraya,WALLU SÉNÉGAL,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663418408_post.jpg
Mohamed Ayib Salim DAFFÉ,Sedhiou,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663417890_post.jpg
Fatoumata DABO,Goudomp,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663426021_post.jpg
Aminata DIA,Dakar,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663418656_post.JPG
Madeleine NDOUR,Mbour,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663705957_post.png
Yetta SOW,Podor,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1411230551_post.jpg
Omar SY,Mbour,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663722789_post.jpg
Yoro SOW,Linguere,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663705856_post.jpg
Rama CISSOKHO,Guediawaye,WALLU SÉNÉGAL,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663705957_post.png
Alassane NDOYE,Thies,WALLU SÉNÉGAL,http://www.assemblee-nationale.sn/vignette350x250bankimages/1411216459_post.jpg
Aly MANÉ,Nioro,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663450318_post.jpg
Gora NDOYE,Asie-Moyen orient,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663713185_post.jpg
Oumar SY,Linguere,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663722896_post.jpg
Mamadou Oury Baïlo DIALLO,Velingara,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1507688713_post.JPG
Ndèye Satala DIOP,"Europe de l’Ouest, d",Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663438202_post.jpg
Cheikh Abdou MBACKE,Mbacke,WALLU SÉNÉGAL,http://www.assemblee-nationale.sn/vignette350x250bankimages/1507983342_post.JPG
Papa DIOP,Dakar,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1506688061_post.jpg
